Tiime	Dragonfly	Redis
4	4738531328	6819917824
5	4738637824	6819917824
6	4738658304	6819913728
7	4738777088	6820589568
8	4738781184	6820638720
9	4738768896	6820769792
10	4738494464	6820777984
11	4738756608	6820683776
12	4740325376	6820687872
13	4740243456	6820691968
14	4740194304	6820687872
15	4740194304	7429746688
16	4740734976	7942115328
17	4740370432	8400957440
18	4740366336	8863305728
19	4740390912	9302515712
20	4740399104	9697935360
21	4740423680	10074103808
22	4748312576	10362601472
23	4750438400	10649939968
24	4750315520	10926985216
25	4750426112	11195555840
26	4750180352	11444666368
27	4750417920	11665764352
28	4750131200	11872944128
29	4750233600	12060946432
30	4750475264	12232212480
31		12379299840
32		12521598976
33		12647915520
34		12756508672
35		12848570368
36		12944240640
37		13025046528
38		13105799168
39		13181427712
40		8000053248
41		7048486912
42		7048507392